Name;Units;Data Type;Description
id;unitless;``uint16``;Identification number
name;unitless;``str``;Name
alias;unitless;``str``;Alias
color;unitless;``str``;Color
w_ck;unitless;``float32``;(downscaling weight) Canopy residence time
w_ca;unitless;``float32``;(downscaling weight) Activation level for canopy flow
w_sk;unitless;``float32``;(downscaling weight) Surface residence time
w_soa;unitless;``float32``;(downscaling weight) Activation level for overland flow
w_soc;unitless;``float32``;(downscaling weight) Fragmentation level for overland flow
w_sua;unitless;``float32``;(downscaling weight) Activation level for subsurface flow
w_suc;unitless;``float32``;(downscaling weight) Fragmentation level for subsurface flow
w_sux;unitless;``float32``;(downscaling weight) Subsurface storage capacity
w_dea;unitless;``float32``;(downscaling weight) Deficit activation level for ET (root zone)
