Name;Units;Data Type;Description
datetime;unitless;``str``;Date-time label
ppt;mm/{dt};``float32``;Precipitation
pet;mm/{dt};``float32``;Potential Evapotranspiration
qobs;mm/{dt};``float32``;Streamflow observed at basin outlet
et;mm/{dt};``float32``;Evapotranspiration flow (ET)
ec;mm/{dt};``float32``;Canopy evaporation flow
es;mm/{dt};``float32``;Surface evaporation flow
eg;mm/{dt};``float32``;Phreatic zone transpiration flow
c;mm;``float32``;Canopy storage level
s;mm;``float32``;Surface storage level
v;mm;``float32``;Vadose zone storage level
g;mm;``float32``;Phreatic zone level
psf;mm/{dt};``float32``;Canopy stem flow
ptf;mm/{dt};``float32``;Canopy spill flow (throughfall)
ps;mm/{dt};``float32``;Surface effective precipitation (psf + ptf)
qo;mm/{dt};``float32``;Overland flow (runoff)
qu;mm/{dt};``float32``;Underland flow (subsurface flow)
qh;mm/{dt};``float32``;Hillslope flow (qo + qu)
qc;mm/{dt};``float32``;Channel flow at basin outlet (routed qh)
qb;mm/{dt};``float32``;Groundwater base flow
qn;mm/{dt};``float32``;Infiltration flow (drainage to mineral soil)
qv;mm/{dt};``float32``;Recharge flow (percolation to phreatic zone)
d;mm;``float32``;Soil saturation deficit (gx - g)
dv;mm;``float32``;Vadose zone saturation deficit (d - v)
q;mm/{dt};``float32``;Streamflow or discharge at basin outlet
