Name;Units;Data Type;Description
dt;min;``float32``;Simulation time step
c0;mm;``float32``;Canopy storage initial conditions
s0;mm;``float32``;Surface storage initial conditions
v0;mm;``float32``;Vadose zone initial conditions
g0;mm;``float32``;Phreatic zone initial conditions
ck;d;``float32``;Canopy residence time
ca;mm;``float32``;Activation level for canopy flow
sk;d;``float32``;Surface residence time
soa;mm;``float32``;Activation level for overland flow
soc;mm;``float32``;Fragmentation level for overland flow
sua;mm;``float32``;Activation level for subsurface flow
suc;mm;``float32``;Fragmentation level for subsurface flow
sux;mm;``float32``;Subsurface storage capacity
kv;mm/d;``float32``;Soil hydraulic conductivity
gk;d;``float32``;Phreatic zone residence time
gx;mm;``float32``;Phreatic zone storage capacity
dea;mm;``float32``;Deficit activation level for ET (root zone)
gex;mm;``float32``;ET capacity of capilar zone
kq;m/d;``float32``;Channel water celerity
hw;unitless;``float32``;Weight for HAND in TSI superposition
hx;m;``float32``;HAND upper threshold in TSI superposition
