Name;Units;Data Type;Description
dst_crs;unitless;``str``;CRS ID assigned for the project (eg, EPSG code)
src_aoi_db;unitless;``str``;Path to the ``aoi`` vector database (eg, a geopackage)
src_aoi_layer;unitless;``str``;Name of the ``aoi`` polygon in database
src_canonical;unitless;``str``;Path to the assigned canonical raster
src_dem;unitless;``str``;Path to the sourced dem file
src_slope;unitless;``str``;Path to the sourced slope raster file
src_ldd;unitless;``str``;Path to the sourced ldd raster file
src_hand;unitless;``str``;Path to the sourced hand raster file
src_soils;unitless;``str``;Path to the sourced soils raster file
src_soils_attributes;unitless;``str``;Path to the sourced soils attributes file
src_lulc_attributes;unitless;``str``;Path to the sourced lulc attributes file
src_lulc_{scenario};unitless;``str``;Path to a sourced LULC scenario folder
src_lulc_{scenario}_pattern;unitless;``str``;Text pattern for the expected LULC files (eg. 'LULC_*.tif')
