Name;Symbol;Description;Units;System
ca;:math:`C_{a}`;Activation level for canopy flow;mm;storage
ck;:math:`C_{k}`;Canopy residence time;d;storage
dea;:math:`D_{e, a}`;Deficit activation level for ET (root zone);mm;flow
dt;:math:`\Delta t`;Simulation time step;min;time
ex;:math:`\hat{G_{e}}`;ET capacity of capilar zone;mm;storage
gk;:math:`G_{k}`;Phreatic zone residence time;d;storage
gx;:math:`\hat{G}`;Phreatic zone storage capacity;mm;storage
hw;:math:`H_{w}`;Weight for HAND in TSI superposition;unitless;storage
hx;:math:`\hat{H}`;HAND upper threshold in TSI superposition;m;storage
kq;:math:`K_{Q}`;Channel water celerity;m/d;flow
kv;:math:`K_{V}`;Soil hydraulic conductivity;mm/d;flow
sk;:math:`S_{k}`;Surface residence time;d;storage
soa;:math:`S_{o, a}`;Activation level for overland flow;mm;storage
soc;:math:`S_{o, c}`;Fragmentation level for overland flow;mm;storage
sua;:math:`S_{u, a}`;Activation level for subsurface flow;mm;storage
suc;:math:`S_{u, c}`;Fragmentation level for subsurface flow;mm;storage
sux;:math:`\hat{S_{u}}`;Subsurface storage capacity;mm;storage
