Name;Symbol;Description;Units;System
c;:math:`C`;Canopy storage level;mm;storage
d;:math:`D`;Soil saturation deficit (gx - g);mm;storage
datetime;:math:`t`;Date-time label;unitless;time
dv;:math:`D_{v}`;Vadose zone saturation deficit (d - v);mm;storage
ec;:math:`E_{c}`;Canopy evaporation flow;mm/{dt};flow
eg;:math:`E_{g}`;Phreatic zone transpiration flow;mm/{dt};flow
es;:math:`E_{s}`;Surface evaporation flow;mm/{dt};flow
et;:math:`E`;Evapotranspiration flow (ET);mm/{dt};flow
g;:math:`G`;Phreatic zone level;mm;storage
pet;:math:`E_{\text{pot}}`;Potential Evapotranspiration;mm/{dt};flow
ppt;:math:`P`;Precipitation;mm/{dt};flow
ps;:math:`P_{s}`;Surface effective precipitation (psf + ptf);mm/{dt};flow
psf;:math:`P_{sf}`;Canopy stem flow;mm/{dt};flow
ptf;:math:`P_{tf}`;Canopy spill flow (throughfall);mm/{dt};flow
q;:math:`Q`;Streamflow or discharge at basin outlet;mm/{dt};flow
qb;:math:`Q_{b}`;Groundwater base flow;mm/{dt};flow
qc;:math:`Q_{c}`;Channel flow at basin outlet (routed qh);mm/{dt};flow
qh;:math:`Q_{h}`;Hillslope flow (qo + qu);mm/{dt};flow
qn;:math:`Q_{n}`;Infiltration flow (drainage to mineral soil);mm/{dt};flow
qo;:math:`Q_{o}`;Overland flow (runoff);mm/{dt};flow
qobs;:math:`Q_{\text{obs}}`;Streamflow observed at basin outlet;mm/{dt};flow
qu;:math:`Q_{u}`;Underland flow (subsurface flow);mm/{dt};flow
qv;:math:`Q_{v}`;Recharge flow (percolation to phreatic zone);mm/{dt};flow
s;:math:`S`;Surface storage level;mm;storage
v;:math:`V`;Vadose zone storage level;mm;storage
